id,country,sth1,sth2,sth3,sth4,sth5,sth6,sth7,sth8,sth9
139,Jamajka,2 758 124,2 780 132,2 804 332,2 825 928,2 868 380,2 889 187,2 970 340,2 990 561,2 812 090
140,Zachodni Brzeg,2 460 492,2 535 927,2 611 904,2 461 267,2 568 555,2 622 544,2 697 686,2 747 943,2 793 284
141,Litwa,3 585 906,3 575 439,3 565 205,3 555 179,3 535 547,3 525 761,2 854 235,2 823 859,2 793 284
142,Namibia,2 044 147,2 055 080,2 088 669,2 108 665,2 147 585,2 165 828,2 436 469,2 484 780,2 533 224
143,Katar,967 602,1 152 675,1 356 635,1 564 285,1 911 016,2 051 591,2 258 283,2 314 307,2 363 569
144,Botswana,1 639 833,1 815 508,1 842 323,1 990 876,2 065 398,2 098 018,2 209 208,2 214 858,2 249 104
145,Gabon,1 424 906,1 454 867,1 485 832,1 514 993,1 576 665,1 608 321,1 738 541,1 772 255,2 119 036
146,Macedonia Północna,2 050 554,2 055 915,2 061 315,2 066 718,2 077 328,2 082 370,2 100 025,2 103 721,2 118 945
147,Słowenia,2 010 347,2 009 245,2 007 711,2 005 692,2 000 092,1 996 617,1 978 029,1 972 126,2 102 126
148,Gambia,1 641 564,1 688 359,1 735 464,1 782 893,1 797 860,1 840 454,2 009 648,2 051 363,2 092 731
149,Lesotho,2 022 331,2 125 262,2 128 180,2 130 819,1 924 886,1 930 493,1 953 070,1 958 042,1 962 461
150,Łotwa,2 274 735,2 259 810,2 245 423,2 231 503,2 204 708,2 191 580,1 965 686,1 944 643,1 923 559
151,Kosowo,–,–,2 126 708,1 804 838,1 825 632,1 836 529,1 883 018,1 895 250,1 907 592
152,Strefa Gazy,1 428 757,1 482 405,1 537 269,1 558 592,1 657 155,1 710 257,1 753 327,1 795 183,1 836 713
153,Gwinea Bissau,1 442 029,1 472 780,1 503 182,1 533 964,1 596 677,1 628 603,1 759 159,1 792 338,1 833 247
154,Bahrajn,698 585,708 573,718 306,727 785,1 214 705,1 248 348,1 378 904,1 410 942,1 442 659
155,Mauritius,1 240 827,1 250 882,1 274 189,1 284 264,1 303 717,1 313 095,1 348 242,1 356 388,1 364 283
156,Timor Wschodni,1 062 777,1 084 971,1 108 777,1 131 612,1 177 834,1 201 255,1 261 072,1 291 358,1 321 929
157,Estonia,1 324 333,1 315 912,1 307 605,1 299 371,1 282 963,1 274 709,1 258 545,1 251 581,1 244 288
158,Cypr,784 301,788 457,792 604,796 740,1 120 489,1 138 071,1 205 575,1 221 549,1 237 088
159,Trynidad i Tobago,1 065 842,1 056 608,1 047 366,1 229 953,1 227 505,1 226 383,1 220 479,1 218 208,1 215 527
160,Eswatini,1 136 334,1 133 066,1 128 814,1 123 913,1 370 424,1 386 914,1 451 428,1 467 152,1 087 200
161,Fidżi,905 949,918 675,931 741,944 720,883 125,890 057,915 303,920 938,926 276
162,Dżibuti,486 530,496 374,506 221,516 055,757 074,774 389,846 687,865 267,884 017
163,Komory,690 948,711 417,731 775,752 438,794 683,737 284,794 678,808 080,821 164
164,Gwinea Równikowa,540 109,551 201,616 459,633 441,668 225,685 991,759 451,778 358,797 457
165,Bhutan,2 279 723,2 327 849,682 321,691 141,708 427,716 896,750 125,758 288,766 397
166,Gujana,767 245,769 095,770 794,772 298,744 768,741 908,735 909,737 718,740 685
167,Wyspy Salomona,552 438,566 842,581 318,595 613,571 890,584 578,635 027,647 581,660 121
168,Sahara Zachodnia,273 008,382 617,393 831,405 210,507 160,522 928,587 020,603 253,619 551
169,Czarnogóra,630 548,684 736,678 177,672 180,661 807,657 394,644 578,642 550,614 249
170,Makau,453 125,456 989,460 823,559 846,573 003,578 025,597 425,601 969,606 340
171,Luksemburg,474 413,480 222,486 006,491 775,503 302,509 074,582 291,594 130,605 764
172,Surinam,439 117,470 784,475 996,481 267,491 989,560 157,585 824,591 919,597 927
173,Republika Zielonego Przylądka,420 979,423 613,426 998,429 474,516 100,523 568,553 432,560 899,568 373
174,Brunei,379 444,374 577,381 371,388 190,401 890,408 786,436 620,443 593,450 565
175,Malta,400 214,401 880,403 532,405 165,408 333,409 836,415 196,416 338,449 043
176,Malediwy,359 008,369 031,379 174,396 334,394 999,394 451,392 960,392 709,392 473
177,Belize,287 730,294 385,301 270,307 899,321 115,327 719,353 858,360 346,385 854
178,Islandia,299 388,301 931,304 367,306 694,311 058,313 183,335 878,339 747,343 518
179,Bahamy,303 770,305 655,307 451,309 156,313 312,316 182,327 316,329 988,332 634
180,Barbados,279 912,280 946,281 968,284 589,286 705,287 733,291 495,292 336,293 131
181,Polinezja Francuska,274 578,278 963,283 019,287 032,294 935,274 512,285 321,287 881,290 373
182,Vanuatu,208 869,211 971,215 446,218 519,224 564,227 574,277 554,282 814,288 037
183,Nowa Kaledonia,219 246,221 943,224 824,227 436,256 275,260 166,275 355,279 070,282 754
184,Wyspy Świętego Tomasza i Książęca,193 413,199 579,206 178,212 679,179 506,183 176,197 541,201 025,204 454
185,Samoa,176 908,214 265,217 083,219 998,193 161,194 320,198 926,200 108,201 316
186,Guam,171 019,173 456,175 877,178 430,185 674,159 914,162 741,167 358,167 772
187,Saint Lucia,168 458,170 649,172 884,160 267,161 557,162 178,164 464,164 994,165 510
188,Curaçao,–,–,–,–,–,142 180,149 035,149 648,150 241
189,Aruba,71 891,100 018,101 541,103 065,106 113,107 635,113 648,115 120,116 576
190,Grenada,89 703,89 971,90 343,90 739,108 419,109 011,111 219,111 724,112 207
191,Kiribati,105 432,107 817,110 356,112 850,100 743,101 998,106 925,108 145,109 367
192,Wyspy Dziewicze,108 605,108 448,108 210,109 825,109 666,109 574,102 951,107 268,106 977
193,Tonga,114 689,116 921,119 009,120 898,105 916,106 146,106 513,106 479,106 398
194,Mikronezja,108 004,107 862,107 665,107 434,106 836,106 487,104 719,104 196,103 643
195,Saint Vincent i Grenadyny,117 848,118 149,118 432,104 574,103 869,103 537,102 350,102 089,101 844
196,Jersey,91 084,91 321,91 533,91 626,94 161,94 949,98 069,98 840,99 602
197,Antigua i Barbuda,69 108,69 481,69 842,85 632,87 884,89 018,93 581,94 731,95 882
198,Seszele,81 541,81 895,82 247,87 476,89 188,90 024,93 186,93 920,94 633
199,Wyspa Man,75 441,75 831,76 220,76 120,84 655,85 421,88 185,88 815,89 407
200,Andora,71 201,71 822,72 413,83 888,84 825,85 082,85 660,85 702,85 708
201,Wyspy Marshalla,60 422,61 815,63 174,64 522,67 182,68 480,73 376,74 539,75 684
202,Dominika,68 910,72 386,72 514,72 660,72 969,73 126,73 757,73 897,74 027
203,Bermudy,65 773,66 163,66 536,67 837,68 679,69 080,70 537,70 864,71 176
204,Guernsey,65 409,65 573,65 726,65 870,65 068,65 345,66 297,66 502,66 697
205,Kajmany,45 436,46 600,47 862,49 035,51 384,57 695,57 268,58 441,59 613
206,Grenlandia,56 361,56 344,56 326,57 600,57 670,57 695,57 728,57 717,57 691
207,Turks i Caicos,21 152,21 746,22 352,22 942,44 819,46 335,51 430,52 570,53 701
208,Saint Kitts i Nevis,39 129,39 349,39 619,40 131,50 314,50 726,52 329,52 715,53 094
209,Mariany Północne,82 459,84 546,86 616,88 662,46 050,44 582,53 467,52 263,51 994
210,Wyspy Owcze,47 246,47 511,48 668,48 856,49 267,49 483,50 456,50 730,51 018
211,Samoa Amerykańskie,57 794,57 663,57 496,65 628,67 242,68 061,54 194,51 504,50 826
212,Sint Maarten,–,–,–,–,–,37 429,41 486,42 083,42 677
213,Liechtenstein,33 987,34 247,34 498,34 761,35 236,36 713,37 937,38 244,38 547
